account,owner_id,region,reservation_id,instance_id,state,image_id,platform,instance_type,vpc_id,launch_time,age,network_interfaces,subnet_id,private_ip,private_dns_name,public_dns_name,name,keep_until,managed_by,tag_qty
my-sandbox,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-e20fbdf4,,c4.xlarge,vpc-53d23c37,2017-10-10 22:51:14+00:00,26,1,subnet-55aa9822,10.151.21.69,ip-10-151-21-69.ec2.internal,,test-sysem1,12/1/17,kgh@,4
my-sandbox,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,m4.large,vpc-53d23c37,2017-10-14 00:32:54+00:00,23,1,subnet-1892eb33,10.151.21.58,ip-10-151-21-58.ec2.internal,,test-sysem2,12/1/17,kgh@,3
my-sandbox,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-e20fbdf4,,c4.xlarge,vpc-53d23c37,2017-10-10 22:51:14+00:00,26,1,subnet-62f8ad3b,10.151.21.9,ip-10-151-21-9.ec2.internal,,test-sysem3,12/1/17,kgh@,4
acme-access,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-b0210ed8,,t2.small,vpc-53d23c37,2016-02-12 02:07:25+00:00,633,1,subnet-64f8ad3d,10.151.21.170,ip-10-151-21-170.ec2.internal,ec2-54-12-199-121.compute-1.amazonaws.com,access-monitor1,5/1/18,secops@,1
acme-access,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-f2dec8e4,,c4.xlarge,vpc-53d23c37,2017-07-19 17:03:41+00:00,109,1,subnet-1f92eb34,10.151.21.196,ip-10-151-21-196.ec2.internal,ec2-54-12-63-12.compute-1.amazonaws.com,access-monitor2,5/1/18,secops@,4
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-f2dec8e4,,c4.xlarge,vpc-53d23c37,2017-07-21 04:31:42+00:00,108,1,subnet-62f8ad3b,10.151.21.7,ip-10-151-21-7.ec2.internal,,prod-ws-ruby,Permanent,ops-team@,3
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-1455826e,,t2.small,vpc-53d23c37,2017-10-16 17:49:32+00:00,20,1,subnet-62f8ad3b,10.151.21.29,ip-10-151-21-29.ec2.internal,,prod-ws-topaz,Permanent,ops-team@,3
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,m4.large,vpc-53d23c37,2017-10-14 00:30:58+00:00,23,1,subnet-62f8ad3b,10.151.21.19,ip-10-151-21-19.ec2.internal,,prod-ws-emerald,Permanent,ops-team@,3
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-e20fbdf4,,c4.xlarge,vpc-53d23c37,2017-10-10 22:51:14+00:00,26,1,subnet-1892eb33,10.151.21.53,ip-10-151-21-53.ec2.internal,,prod-apps-gold,Permanent,ops-team@,4
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-c1f252aa,,m3.medium,vpc-53d23c37,2015-09-29 22:28:02+00:00,768,1,subnet-1892eb33,10.151.21.39,ip-10-151-21-39.ec2.internal,,prod-apps-silver,Permanent,ops-team@,10
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,t2.small,vpc-53d23c37,2017-10-13 21:07:10+00:00,23,1,subnet-1892eb33,10.151.21.62,ip-10-151-21-62.ec2.internal,,prod-apps-copper,Permanent,ops-team@,3
acme-prod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-c1f252aa,,m4.xlarge,vpc-53d23c37,2017-10-15 04:47:44+00:00,22,1,subnet-62f8ad3b,10.151.21.17,ip-10-151-21-17.ec2.internal,,prod-db-1,Permanent,ops-team@,9
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-1455826e,,t2.small,vpc-53d23c37,2017-10-16 17:50:41+00:00,20,1,subnet-1892eb33,10.151.21.51,ip-10-151-21-51.ec2.internal,,preprod-ws-ruby,Permanent,ops-team@,3
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-f2dec8e4,,c4.xlarge,vpc-53d23c37,2017-07-19 17:03:41+00:00,109,1,subnet-64f8ad3d,10.151.21.182,ip-10-151-21-182.ec2.internal,ec2-34-19-27-82.compute-1.amazonaws.com,preprod-ws-topaz,2/1/18,cobalt@,4
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,t2.small,vpc-53d23c37,2017-10-13 20:27:41+00:00,23,1,subnet-62f8ad3b,10.151.21.23,ip-10-151-21-23.ec2.internal,,preprod-ws-emerald,2/1/18,cobalt@,3
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,t2.small,vpc-53d23c37,2017-10-13 21:05:35+00:00,23,1,subnet-62f8ad3b,10.151.21.25,ip-10-151-21-25.ec2.internal,,preprod-apps-gold,2/1/18,cobalt@,3
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-69bf7a13,,t2.small,vpc-53d23c37,2017-10-14 01:36:14+00:00,23,1,subnet-55aa9822,10.151.21.85,ip-10-151-21-85.ec2.internal,,preprod-apps-silver,2/1/18,cobalt@,3
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-f2dec8e4,,c4.xlarge,vpc-53d23c37,2017-07-19 17:03:41+00:00,109,1,subnet-53aa9824,10.151.21.247,ip-10-151-21-247.ec2.internal,ec2-57-29-199-134.compute-1.amazonaws.com,preprod-apps-copper,2/1/18,cobalt@,4
acme-preprod,999999999999',us-east-1',r-99999999999999,i-888888888888888,running,ami-c1f252aa,,m4.xlarge,vpc-53d23c37,2015-08-26 20:55:00+00:00,802,1,subnet-1892eb33,10.151.21.36,ip-10-151-21-36.ec2.internal,,preprod-db-1,2/1/18,cobalt@,9